區域,縣市,學校,學前,國小,國中,高中職
北,新北市,新北特殊教育學校,0,0,3,257
北,宜蘭縣,宜蘭特殊教育學校,0,0,14,74
北,桃園市,桃園特殊教育學校,0,0,40,336
北,新竹縣,新竹特殊教育學校,0,36,33,122
中,臺中市,惠明盲校,3,23,27,0
中,臺中市,臺中啟明學校,0,8,24,63
中,彰化縣,和美實驗學校,5,37,53,131
中,彰化縣,彰化特殊教育學校,13,37,44,187
中,南投縣,南投特殊教育學校,0,28,20,66
南,臺南市,臺南大學附屬啟聰學校,22,37,12,75
南,高雄市,仁武特殊教育學校,6,23,27,64
南,屏東縣,屏東特殊教育學校,0,22,20,121
東,臺東縣,臺東大學附屬特教學校,0,20,27,59
東,花蓮縣,花蓮特殊教育學校,0,15,27,69
中,臺中市,臺中特殊教育學校,14,0,0,289
中,臺中市,臺中啟聰學校,30,45,40,94
南,嘉義市,嘉義特殊教育學校,5,48,43,127
南,臺南市,臺南特殊教育學校,13,40,54,143
中,雲林縣,雲林特殊教育學校,14,38,29,109
北,臺北市,臺北市立啟聰學校,32,23,23,44
北,臺北市,臺北特殊教育學校,16,18,32,152
北,臺北市,臺北市立啟明學校,23,7,19,42
北,臺北市,文山特殊教育學校,31,26,22,103
北,基隆市,基隆特殊教育學校,0,10,9,101
南,高雄市,楠梓特殊學校,0,23,25,93
南,高雄市,成功特殊教育學校,0,17,23,87
南,高雄市,高雄特殊教育學校,0,32,25,90
中,苗栗縣,苗栗特殊教育學校,0,0,25,83
